feature,importance
numeric__LOWEST_RATING,0.5236119459155226
numeric__CULVERT_COND_NUM,0.1373968359515361
numeric__INSPECT_FREQ_MONTHS_091,0.11137828311599052
numeric__DECK_COND_NUM,0.045615003236510764
categorical__DECK_STRUCTURE_TYPE_107_N,0.02385658061892582
numeric__STRUCTURE_LEN_MT_049,0.018187098058946652
numeric__MAIN_UNIT_SPANS_045,0.01783784925032578
numeric__INVENTORY_RATING_066,0.017128763418692867
numeric__bridge_age,0.016188601839014705
numeric__ROADWAY_WIDTH_MT_051,0.01568573933394881
categorical__SCOUR_CRITICAL_113_U,0.015134831235127233
categorical__STRUCTURE_KIND_043A_1,0.012920834383247424
numeric__DETOUR_KILOS_019,0.01000587748085871
categorical__STRUCTURE_KIND_043A_3,0.00892460580813798
categorical__STRUCTURE_KIND_043A_7,0.007829087767079848
numeric__OPERATING_RATING_064,0.0054102240846201225
numeric__DECK_WIDTH_MT_052,0.004184899124023936
numeric__ADT_029,0.003046906612180298
categorical__BRIDGE_CONDITION_F,0.0025944573687051967
categorical__FUNCTIONAL_CLASS_026_16,0.0020952130667069033
numeric__PERCENT_ADT_TRUCK_109,0.0009663623298978523
numeric__TRAFFIC_LANES_ON_028A,0.0
categorical__SCOUR_CRITICAL_113_3,0.0
categorical__SCOUR_CRITICAL_113_2,0.0
numeric__SUPERSTRUCTURE_COND_NUM,0.0
numeric__SUBSTRUCTURE_COND_NUM,0.0
numeric__APPR_SPANS_046,0.0
numeric__MAX_SPAN_LEN_MT_048,0.0
numeric__years_since_reconstruction,0.0
categorical__SCOUR_CRITICAL_113_7,0.0
categorical__SCOUR_CRITICAL_113_N,0.0
categorical__SCOUR_CRITICAL_113_9,0.0
categorical__STRUCTURE_KIND_043A_0,0.0
categorical__SCOUR_CRITICAL_113_infrequent_sklearn,0.0
categorical__STRUCTURE_KIND_043A_2,0.0
categorical__STRUCTURE_KIND_043A_4,0.0
categorical__SCOUR_CRITICAL_113_6,0.0
categorical__SCOUR_CRITICAL_113_8,0.0
categorical__STRUCTURE_KIND_043A_6,0.0
categorical__STRUCTURE_KIND_043A_8,0.0
categorical__STRUCTURE_KIND_043A_9,0.0
categorical__STRUCTURE_TYPE_043B_0,0.0
categorical__STRUCTURE_TYPE_043B_1,0.0
categorical__STRUCTURE_TYPE_043B_10,0.0
categorical__STRUCTURE_TYPE_043B_11,0.0
categorical__STRUCTURE_TYPE_043B_12,0.0
categorical__STRUCTURE_TYPE_043B_13,0.0
categorical__STRUCTURE_TYPE_043B_16,0.0
categorical__STRUCTURE_TYPE_043B_17,0.0
categorical__STRUCTURE_TYPE_043B_19,0.0
categorical__STRUCTURE_TYPE_043B_2,0.0
categorical__STRUCTURE_TYPE_043B_21,0.0
categorical__STRUCTURE_KIND_043A_5,0.0
categorical__SCOUR_CRITICAL_113_4,0.0
categorical__STRUCTURE_TYPE_043B_3,0.0
categorical__STRUCTURE_TYPE_043B_4,0.0
categorical__STRUCTURE_TYPE_043B_6,0.0
categorical__STRUCTURE_TYPE_043B_5,0.0
categorical__STRUCTURE_TYPE_043B_9,0.0
categorical__STRUCTURE_TYPE_043B_infrequent_sklearn,0.0
categorical__DECK_STRUCTURE_TYPE_107_1,0.0
categorical__STRUCTURE_TYPE_043B_7,0.0
categorical__DECK_STRUCTURE_TYPE_107_2,0.0
categorical__DECK_STRUCTURE_TYPE_107_3,0.0
categorical__DECK_STRUCTURE_TYPE_107_5,0.0
categorical__DECK_STRUCTURE_TYPE_107_4,0.0
categorical__DECK_STRUCTURE_TYPE_107_6,0.0
categorical__DECK_STRUCTURE_TYPE_107_8,0.0
categorical__DECK_STRUCTURE_TYPE_107_9,0.0
categorical__DECK_STRUCTURE_TYPE_107_infrequent_sklearn,0.0
categorical__OWNER_022_1,0.0
categorical__OWNER_022_11,0.0
categorical__OWNER_022_2,0.0
categorical__OWNER_022_21,0.0
categorical__OWNER_022_25,0.0
categorical__OWNER_022_3,0.0
categorical__OWNER_022_4,0.0
categorical__OWNER_022_62,0.0
categorical__OWNER_022_63,0.0
categorical__OWNER_022_64,0.0
categorical__OWNER_022_66,0.0
categorical__OWNER_022_68,0.0
categorical__OWNER_022_69,0.0
categorical__OWNER_022_72,0.0
categorical__STRUCTURE_TYPE_043B_22,0.0
categorical__SCOUR_CRITICAL_113_5,0.0
categorical__OWNER_022_74,0.0
categorical__OWNER_022_73,0.0
categorical__MAINTENANCE_021_11,0.0
categorical__OWNER_022_infrequent_sklearn,0.0
categorical__MAINTENANCE_021_21,0.0
categorical__MAINTENANCE_021_25,0.0
categorical__MAINTENANCE_021_26,0.0
categorical__MAINTENANCE_021_1,0.0
categorical__MAINTENANCE_021_4,0.0
categorical__MAINTENANCE_021_62,0.0
categorical__MAINTENANCE_021_63,0.0
categorical__MAINTENANCE_021_64,0.0
categorical__MAINTENANCE_021_66,0.0
categorical__MAINTENANCE_021_68,0.0
categorical__MAINTENANCE_021_69,0.0
categorical__MAINTENANCE_021_2,0.0
categorical__MAINTENANCE_021_72,0.0
categorical__MAINTENANCE_021_73,0.0
categorical__MAINTENANCE_021_infrequent_sklearn,0.0
categorical__MAINTENANCE_021_74,0.0
categorical__FUNCTIONAL_CLASS_026_1,0.0
categorical__FUNCTIONAL_CLASS_026_11,0.0
categorical__FUNCTIONAL_CLASS_026_12,0.0
categorical__FUNCTIONAL_CLASS_026_14,0.0
categorical__FUNCTIONAL_CLASS_026_17,0.0
categorical__FUNCTIONAL_CLASS_026_19,0.0
categorical__FUNCTIONAL_CLASS_026_2,0.0
categorical__FUNCTIONAL_CLASS_026_6,0.0
categorical__FUNCTIONAL_CLASS_026_7,0.0
categorical__FUNCTIONAL_CLASS_026_8,0.0
categorical__FUNCTIONAL_CLASS_026_9,0.0
categorical__MAINTENANCE_021_3,0.0
